station_id, obs_time, wx, rh, t, td, wdir, wspeed, pressure
SBBH,201707131000,Partly Cloudy,82,16,7,80,11,916.18 
SBBH,201707122000,Fair,47,23,5,50,4,915.29 
SBBH,201707121800,Partly Cloudy,44,25,5,None,0,915.29 
SBBH,201707121600,Partly Cloudy,50,24,6,340,6,915.29 
SBBH,201707121500,Fair,53,23,5,50,4,915.29 
SBBH,201707121400,Fair,57,22,6,310,2,916.18 
SBBH,201707121300,Fair,64,21,10,None,0,917.08 
SBBH,201707121100,Fair,77,17,12,None,0,917.97 
SBBH,201707121000,Fair,77,16,7,80,11,916.18 
SBBH,201707112000,Fair,53,22,6,310,2,916.18 
SBBH,201707111900,Fair,50,23,5,50,4,915.29 
SBBH,201707111700,Fair,50,23,5,50,4,915.29 
SBBH,201707111600,Fair,50,23,5,50,4,915.29 
SBBH,201707111500,Fair,57,22,6,310,2,916.18 
SBBH,201707111300,Partly Cloudy,60,20,12,80,11,918.87 
SBBH,201707111100,Fair,77,17,12,None,0,917.97 
SBBH,201707111000,Fair,88,15,4,130,9,915.29 
SBBH,201707102000,Fair,64,19,12,100,11,918.87 
SBBH,201707101900,Mostly Cloudy,56,20,12,80,11,918.87 
SBBH,201707101700,Mostly Cloudy,57,22,6,310,2,916.18 
SBBH,201707101600,Mostly Cloudy,57,22,6,310,2,916.18 
SBBH,201707101500,Mostly Cloudy,60,21,10,None,0,917.08 
SBBH,201707101400,Mostly Cloudy,60,20,12,80,11,918.87 
SBBH,201707101300,Mostly Cloudy,68,19,12,100,11,918.87 
SBBH,201707101100,Fair,72,17,12,None,0,917.97 
SBBH,201707101000,Fair,82,14,7,90,19,917.08 
SBBH,201707092000,Fair,49,21,10,None,0,917.08 
SBBH,201707091900,Partly Cloudy,46,22,6,310,2,916.18 
SBBH,201707091700,Partly Cloudy,53,21,10,None,0,917.08 
SBBH,201707091600,Partly Cloudy,53,21,10,None,0,917.08 
SBBH,201707091500,Partly Cloudy,56,21,10,None,0,917.08 
